iter	Passed	Remaining
0	2	256
1	4	237
2	6	213
3	8	205
4	10	198
5	12	190
6	13	183
7	15	181
8	18	188
9	20	181
10	22	178
11	23	175
12	25	170
13	27	167
14	29	164
15	31	162
16	32	160
17	34	158
18	36	155
19	38	153
20	40	153
21	42	150
22	44	148
23	46	146
24	47	143
25	50	142
26	51	140
27	53	138
28	55	135
29	57	133
30	58	131
31	60	129
32	62	126
33	64	124
34	65	122
35	67	120
36	69	118
37	71	116
38	73	114
39	74	112
40	76	110
41	78	108
42	80	106
43	81	104
44	83	102
45	85	100
46	87	98
47	89	96
48	90	94
49	93	93
50	95	91
51	96	89
52	98	87
53	100	85
54	102	83
55	103	81
56	105	79
57	107	77
58	109	76
59	111	74
60	113	72
61	115	70
62	116	68
63	117	66
64	118	63
65	119	61
66	121	59
67	122	57
68	123	55
69	123	53
70	124	50
71	125	48
72	126	46
73	126	44
74	127	42
75	128	40
76	128	38
77	129	36
78	130	34
79	130	32
80	131	30
81	131	28
82	132	27
83	133	25
84	134	23
85	134	21
86	135	20
87	135	18
88	136	16
89	136	15
90	137	13
91	137	11
92	138	10
93	138	8
94	139	7
95	139	5
96	140	4
97	140	2
98	140	1
99	141	0
